EgoID,egocat,egohome,egodog,AlterID,altercat,alterdog,alterhome,alterfish,EgoLat,EgoLon,AlterLat,AlterLon,Distance(km),GeoDispersion,GeoDispersionAlt
1,no,,yes,1,yes,no,"1555 Wayne Ave, Dayton, OH 45410",yes,,,39.746568,-84.171148,,4.832929515959954,3.7515678663264147
1,no,,yes,2,no,no,"460 Parkwest Drive, Augusta, GA 30813",yes,,,33.476905,-82.204972,,4.832929515959954,3.7515678663264147
1,no,,yes,3,yes,yes,"Avenue Jean Zuccarelli, 20200 Bastia",no,,,42.703409,9.442503,,4.832929515959954,3.7515678663264147
1,no,,yes,4,no,yes,"Beira Mar Avenue, 3980 - Mucuripe Beach, Fortaleza, Brazil",yes,,,-3.773770,-38.523405,,4.832929515959954,3.7515678663264147
1,no,,yes,5,no,no,"The Aswan Oberoi Hotel and Spa, Elephantine Island, Awan 81111, Egypt",no,,,24.088585,32.911039,,4.832929515959954,3.7515678663264147
2,yes,"1730 Llano Street, Santa Fe, NM 87505",no,1,no,no,"Lumbini, Nepal",no,35.654668,-105.971299,27.803246,83.569214,12888.28610481733,4.874908904486816,3.811735128290968
2,yes,"1730 Llano Street, Santa Fe, NM 87505",no,2,yes,yes,"Klagenfurt 9020, Austria",no,35.654668,-105.971299,46.630531,14.327675,9098.32847083415,4.874908904486816,3.811735128290968
2,yes,"1730 Llano Street, Santa Fe, NM 87505",no,3,yes,no,"Dong-gu, Daegu, South Korea",yes,35.654668,-105.971299,35.927929,128.681206,10253.70491539558,4.874908904486816,3.811735128290968
2,yes,"1730 Llano Street, Santa Fe, NM 87505",no,4,no,yes,,yes,35.654668,-105.971299,,,,4.874908904486816,3.811735128290968
2,yes,"1730 Llano Street, Santa Fe, NM 87505",no,5,yes,no,Kiev,no,35.654668,-105.971299,50.429447,30.546693,9537.279055337154,4.874908904486816,3.811735128290968

EgoID,Alter1ID,Alter2ID,know,like,Distance
1,1,2,0,0,718.8459466981432
1,1,3,1,1,7399.488033197826
1,1,4,0,0,6713.909306815792
1,1,5,0,0,10381.070267144114
1,2,3,1,1,7685.363786699576
1,2,4,0,0,6177.506626994155
1,2,5,1,0,10633.371617340148
1,3,4,1,1,7059.812773126869
1,3,5,0,0,2985.6109604933085
1,4,5,1,1,8310.908867044365
2,1,2,1,0,6263.979085371737
2,1,3,0,0,4315.965146445368
2,1,4,0,0,
2,1,5,0,0,5080.98005897779
2,2,3,1,1,8742.600535709256
2,2,4,0,0,
2,2,5,0,0,1263.6967565945633
2,3,4,1,0,
2,3,5,0,0,7528.873034522539
2,4,5,1,1,
